"","Kid","Pa","Ma","X_kid","Y_kid","X_pa","Y_pa","X_ma","Y_ma","Dist_pa","Dist_ma","Pheno_kid","Pheno_pa","Pheno_ma","Red_kid","Yellow_kid","Red_pa","Yellow_pa","Red_ma","Yellow_ma","year_kid","year_pa","year_ma","FDR","Pvalue","LOD","P.Pr.C_Se_Se","P.Pr.Max","MaxP.Pr.Relat","TotPaNonExc","TotMaNonExc","TotUnkNonExc","TotPairsNonExc","KidMiss","PaMiss","MaMiss","MI.Kid.Pa","MI.Kid.Ma","MI.Trio","MendIncLoci"
"177","T0647","P2495","M0681",424110,4686126,424113.4893,4686128.178,424126.9831,4686111.427,4.11325886511411,22.3785168097952,"FO","FR","WO","3","1.5","4","0.5","2","2",2015,2013,2012,"0.011947","0.001000","22.357264","0.999728","0.999728","C_Se_Se","0","0","33","8","1","0","0","0","0","0","---"
"178","T0935","L1636","P1807",424113.3,4686115,424112.4269,4686120.851,424118.6892,4686107.022,5.91578436113951,9.62766641727218,"WR","WR","FR","1.5","1","2.5","1.5","4","1",2015,2011,2013,"0.026774","0.003000","21.709585","0.999481","0.999481","C_Se_Se","0","0","3","1","0","1","1","0","1","1","ros_assembly_748981"
"179","T1807","M0283","M0692",424118.5,4686113,424119.914,4686113.133,424156.1971,4686118.617,1.42024117672743,38.1132790167023,"FR","FR","FR","4.5","1","4","1","3.5","1",2015,2012,2012,"0.024969","0.003000","21.600231","0.999421","0.999421","C_Se_Se","0","0","29","10","0","0","0","0","0","0","---"
"180","T1798","M0684","M0689",424125,4686110,424125.4187,4686113.43,424125.5389,4686114.873,3.45546085029753,4.90270764035434,"Y","WR","WO","0.5","2","2.5","1","2","2.5",2015,2012,2012,"0.030864","0.004000","21.245083","0.999174","0.999174","C_Se_Se","0","0","3","1","1","0","2","1","0","1","s24_510325"
"181","T1797","M0694","M0267",424126.3,4686112,424125.1465,4686112.782,424159.4189,4686119.249,1.39358754640616,33.9029429136721,"FR","FR","FO","4","0.5","3.5","0.5","4","2.5",2015,2012,2012,"0.000000","0.000000","23.005973","0.999858","0.999858","C_Se_Se","0","0","32","3","0","0","0","0","0","0","---"
"182","T1791","M0700","L1882",424127.8,4686110,424126.1804,4686111.517,424127.8398,4686113.1,2.21909737503805,3.10025547942303,"W","WO","WR","0.5","0.5","2","2.5","2","1",2015,2012,2011,"0.031689","0.004000","21.891359","0.999567","0.999567","C_Se_Se","0","0","17","3","3","1","0","0","0","0","---"
"183","T4742","L1882","M0292",424127.9,4686114,424127.8398,4686113.1,424129.1593,4686118.685,0.902011108951223,4.85129482572437,"FR","WR","FO","3.5","1","2","1","4","1.5",2015,2011,2012,"0.000000","0.000000","23.264157","0.999890","0.999890","C_Se_Se","0","0","18","5","1","0","0","0","0","0","---"
"184","T0921","S0716","P0564",424133,4686125,424132.9818,4686123.239,424168.4825,4686127.733,1.76109404626492,35.5875974919477,"FR","FR","FR","3.5","0.5","3.5","1","4","1",2015,2014,2013,"0.019116","0.002000","22.491967","0.999763","0.999763","C_Se_Se","0","0","85","70","0","0","0","0","0","0","---"
"185","T1816","M0257","M1929",424134.8,4686111,424136.0669,4686114.331,424138.4742,4686111.512,3.56378964187807,3.7097020958791,"FR","FR","WO","4.5","1","4","0.5","1.5","2.5",2015,2012,2012,"0.000000","0.000000","23.681673","0.999928","0.999928","C_Se_Se","0","0","20","14","2","0","0","0","0","0","---"
"186","T0965","M0854","M0125",424135.6,4686123,424134.0306,4686124.74,424142.2948,4686126.741,2.34320642725098,7.66912172565184,"FR","FR","FR","3.5","0.5","3.5","1","4","1",2015,2012,2012,"0.000000","0.000000","22.539953","0.999774","0.999774","C_Se_Se","0","0","21","3","0","0","0","0","0","0","---"
